function	analyzer	tokenizer	run no	mean absolute error	mean squared error	perfects	recall 1	recall 2	recall 3	recall 4	recall 5	precision 1	precision 2	precision 3	precision 4	precision 5
sample_reviews_polar	ThreeCheat	PlainTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	LowercaseTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	NLTKWordTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	PottsTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	PottsTokenizerWithNegation	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	HuggingBertTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	NLTKSentimentAnalyzer	PlainTokenizer	1	0.864	3.456	784	0.694	inf	inf	inf	0.874	0.8463414634146341	inf	inf	inf	0.7406779661016949
sample_reviews_polar	NLTKSentimentAnalyzer	LowercaseTokenizer	1	1.088	4.352	728	0.614	inf	inf	inf	0.842	0.7953367875647669	inf	inf	inf	0.6856677524429967
sample_reviews_polar	NLTKSentimentAnalyzer	NLTKWordTokenizer	1	1.064	4.256	734	0.624	inf	inf	inf	0.844	0.8	inf	inf	inf	0.6918032786885245
sample_reviews_polar	NLTKSentimentAnalyzer	PottsTokenizer	1	0.884	3.536	779	0.69	inf	inf	inf	0.868	0.8394160583941606	inf	inf	inf	0.7368421052631579
sample_reviews_polar	NLTKSentimentAnalyzer	PottsTokenizerWithNegation	1	1.076	4.304	731	0.598	inf	inf	inf	0.864	0.8147138964577657	inf	inf	inf	0.6824644549763034
sample_reviews_polar	NLTKSentimentAnalyzer	HuggingBertTokenizer	1	0.976	3.904	756	0.662	inf	inf	inf	0.85	0.8152709359605911	inf	inf	inf	0.7154882154882155
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	1	0.66	2.64	835	0.818	inf	inf	inf	0.852	0.8467908902691511	inf	inf	inf	0.8239845261121856
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	LowercaseTokenizer	1	0.512	2.048	872	0.868	inf	inf	inf	0.876	0.875	inf	inf	inf	0.8690476190476191
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	NLTKWordTokenizer	1	0.552	2.208	862	0.864	inf	inf	inf	0.86	0.8605577689243028	inf	inf	inf	0.8634538152610441
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizer	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizer	2	0.536	2.144	866	0.896	inf	inf	inf	0.836	0.8452830188679246	inf	inf	inf	0.8893617021276595
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizerWithNegation	1	0.46	1.84	885	0.93	inf	inf	inf	0.84	0.8532110091743119	inf	inf	inf	0.9230769230769231
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	HuggingBertTokenizer	1	0.504	2.016	874	0.892	inf	inf	inf	0.856	0.861003861003861	inf	inf	inf	0.8879668049792531
sample_reviews_polar	TensorflowCategorySentimentAnalyzer	PlainTokenizer	1													
sample_reviews_polar	TensorflowCategorySentimentAnalyzer	PlainTokenizer	2	0.54	2.16	865	0.91	inf	inf	inf	0.82	0.8348623853211009	inf	inf	inf	0.9010989010989011
sample_reviews_polar	TensorflowCategorySentimentAnalyzer	LowercaseTokenizer	1	0.5	2.0	875	0.888	inf	inf	inf	0.862	0.8654970760233918	inf	inf	inf	0.8850102669404517
