function	analyzer	tokenizer	run no	mean absolute error	mean squared error	perfects	recall 1	recall 2	recall 3	recall 4	recall 5	precision 1	precision 2	precision 3	precision 4	precision 5
sample_reviews_polar	ThreeCheat	PlainTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	LowercaseTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	NLTKWordTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	PottsTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	PottsTokenizerWithNegation	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	HuggingBertTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	NLTKSentimentAnalyzer	PlainTokenizer	1	1.108	4.432	723	0.622	inf	inf	inf	0.824	0.7794486215538847	inf	inf	inf	0.6855241264559068
sample_reviews_polar	NLTKSentimentAnalyzer	LowercaseTokenizer	1	0.928	3.712	768	0.67	inf	inf	inf	0.866	0.8333333333333334	inf	inf	inf	0.7240802675585284
sample_reviews_polar	NLTKSentimentAnalyzer	NLTKWordTokenizer	1	1.032	4.128	742	0.636	inf	inf	inf	0.848	0.8071065989847716	inf	inf	inf	0.6996699669966997
sample_reviews_polar	NLTKSentimentAnalyzer	PottsTokenizer	1	1.004	4.016	749	0.654	inf	inf	inf	0.844	0.8074074074074075	inf	inf	inf	0.7092436974789916
sample_reviews_polar	NLTKSentimentAnalyzer	PottsTokenizerWithNegation	1	1.128	4.512	718	0.59	inf	inf	inf	0.846	0.793010752688172	inf	inf	inf	0.6735668789808917
sample_reviews_polar	NLTKSentimentAnalyzer	HuggingBertTokenizer	1	1.224	4.896	694	0.554	inf	inf	inf	0.834	0.7694444444444445	inf	inf	inf	0.6515625
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	2													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	3	0.512	2.048	872	0.89	inf	inf	inf	0.854	0.859073359073359	inf	inf	inf	0.8858921161825726
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	LowercaseTokenizer	1	0.444	1.776	889	0.898	inf	inf	inf	0.88	0.8821218074656189	inf	inf	inf	0.8961303462321792
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	NLTKWordTokenizer	1	0.536	2.144	866	0.944	inf	inf	inf	0.788	0.8166089965397924	inf	inf	inf	0.933649289099526
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizer	1	0.468	1.872	883	0.942	inf	inf	inf	0.824	0.8425760286225402	inf	inf	inf	0.9342403628117913
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizerWithNegation	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizerWithNegation	2													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizerWithNegation	3	0.448	1.792	888	0.91	inf	inf	inf	0.866	0.8716475095785441	inf	inf	inf	0.9058577405857741
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	HuggingBertTokenizer	1	0.512	2.048	872	0.852	inf	inf	inf	0.892	0.8875	inf	inf	inf	0.8576923076923076
sample_reviews_polar	TensorflowCategorySentimentAnalyzer	PlainTokenizer	1	0.504	2.016	874	0.874	inf	inf	inf	0.874	0.874	inf	inf	inf	0.874
sample_reviews_polar	TensorflowCategorySentimentAnalyzer	LowercaseTokenizer	1													
