function	analyzer	tokenizer	run no	mean absolute error	mean squared error	perfects	recall 1	recall 2	recall 3	recall 4	recall 5	precision 1	precision 2	precision 3	precision 4	precision 5
sample_reviews_polar	ThreeCheat	PlainTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	LowercaseTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	NLTKWordTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	PottsTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	PottsTokenizerWithNegation	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	HuggingBertTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	NLTKSentimentAnalyzer	PlainTokenizer	1	0.932	3.728	767	0.676	inf	inf	inf	0.858	0.8264058679706602	inf	inf	inf	0.7258883248730964
sample_reviews_polar	NLTKSentimentAnalyzer	LowercaseTokenizer	1	1.06	4.24	735	0.61	inf	inf	inf	0.86	0.8133333333333334	inf	inf	inf	0.688
sample_reviews_polar	NLTKSentimentAnalyzer	NLTKWordTokenizer	1	1.108	4.432	723	0.608	inf	inf	inf	0.838	0.7896103896103897	inf	inf	inf	0.6813008130081301
sample_reviews_polar	NLTKSentimentAnalyzer	PottsTokenizer	1	1.076	4.304	731	0.62	inf	inf	inf	0.842	0.7969151670951157	inf	inf	inf	0.6890343698854338
sample_reviews_polar	NLTKSentimentAnalyzer	PottsTokenizerWithNegation	1	1.196	4.784	701	0.582	inf	inf	inf	0.82	0.7637795275590551	inf	inf	inf	0.6623586429725363
sample_reviews_polar	NLTKSentimentAnalyzer	HuggingBertTokenizer	1	1.056	4.224	736	0.598	inf	inf	inf	0.874	0.8259668508287292	inf	inf	inf	0.6849529780564263
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	2	0.568	2.272	858	0.87	inf	inf	inf	0.846	0.849609375	inf	inf	inf	0.8668032786885246
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	LowercaseTokenizer	1	0.488	1.952	878	0.844	inf	inf	inf	0.912	0.9055793991416309	inf	inf	inf	0.8539325842696629
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	NLTKWordTokenizer	1	0.46	1.84	885	0.872	inf	inf	inf	0.898	0.8952772073921971	inf	inf	inf	0.8752436647173489
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizer	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizer	2	0.496	1.984	876	0.858	inf	inf	inf	0.894	0.8900414937759336	inf	inf	inf	0.862934362934363
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizerWithNegation	1	0.512	2.048	872	0.856	inf	inf	inf	0.888	0.8842975206611571	inf	inf	inf	0.8604651162790697
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	HuggingBertTokenizer	1	0.488	1.952	878	0.9	inf	inf	inf	0.856	0.8620689655172413	inf	inf	inf	0.895397489539749
sample_reviews_polar	TensorflowCategorySentimentAnalyzer	PlainTokenizer	1	0.492	1.968	877	0.89	inf	inf	inf	0.864	0.8674463937621832	inf	inf	inf	0.8870636550308009
sample_reviews_polar	TensorflowCategorySentimentAnalyzer	LowercaseTokenizer	1	0.544	2.176	864	0.892	inf	inf	inf	0.836	0.8446969696969697	inf	inf	inf	0.885593220338983
