function	analyzer	tokenizer	run no	mean absolute error	mean squared error	perfects	recall 1	recall 2	recall 3	recall 4	recall 5	precision 1	precision 2	precision 3	precision 4	precision 5
sample_reviews_polar	ThreeCheat	PlainTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	LowercaseTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	NLTKWordTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	PottsTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	PottsTokenizerWithNegation	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	ThreeCheat	HuggingBertTokenizer	1	2.0	4.0	0	0.0	inf	inf	inf	0.0	inf	inf	0.0	inf	inf
sample_reviews_polar	NLTKSentimentAnalyzer	PlainTokenizer	1	1.112	4.448	722	0.6	inf	inf	inf	0.844	0.7936507936507936	inf	inf	inf	0.6784565916398714
sample_reviews_polar	NLTKSentimentAnalyzer	LowercaseTokenizer	1	0.844	3.376	789	0.732	inf	inf	inf	0.846	0.8261851015801355	inf	inf	inf	0.7594254937163375
sample_reviews_polar	NLTKSentimentAnalyzer	NLTKWordTokenizer	1	1.016	4.064	746	0.636	inf	inf	inf	0.856	0.8153846153846154	inf	inf	inf	0.7016393442622951
sample_reviews_polar	NLTKSentimentAnalyzer	PottsTokenizer	1	0.876	3.504	781	0.676	inf	inf	inf	0.886	0.8556962025316456	inf	inf	inf	0.7322314049586777
sample_reviews_polar	NLTKSentimentAnalyzer	PottsTokenizerWithNegation	1	1.14	4.56	715	0.588	inf	inf	inf	0.842	0.7882037533512064	inf	inf	inf	0.671451355661882
sample_reviews_polar	NLTKSentimentAnalyzer	HuggingBertTokenizer	1	1.256	5.024	686	0.566	inf	inf	inf	0.806	0.7447368421052631	inf	inf	inf	0.65
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PlainTokenizer	1	0.592	2.368	852	0.882	inf	inf	inf	0.822	0.8320754716981132	inf	inf	inf	0.874468085106383
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	LowercaseTokenizer	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	LowercaseTokenizer	2	0.54	2.16	865	0.892	inf	inf	inf	0.838	0.8462998102466793	inf	inf	inf	0.8858350951374208
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	NLTKWordTokenizer	1													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	NLTKWordTokenizer	2													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	NLTKWordTokenizer	3													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	NLTKWordTokenizer	4													
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	NLTKWordTokenizer	5	0.532	2.128	867	0.832	inf	inf	inf	0.902	0.8946236559139785	inf	inf	inf	0.8429906542056075
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizer	1	0.532	2.128	867	0.882	inf	inf	inf	0.852	0.8563106796116505	inf	inf	inf	0.8783505154639175
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	PottsTokenizerWithNegation	1	0.456	1.824	886	0.878	inf	inf	inf	0.894	0.8922764227642277	inf	inf	inf	0.8799212598425197
sample_reviews_polar	TensorflowPolarSentimentAnalyzer	HuggingBertTokenizer	1	0.632	2.528	842	0.894	inf	inf	inf	0.79	0.8097826086956522	inf	inf	inf	0.8816964285714286
